[-0.294155, -0.0106504, 3.95394];[121, 138, 157]
[-0.294155, 0.0187336, 3.94324];[111, 134, 150]
[-0.294155, 0.0390764, 3.79467];[102, 127, 143]
[-0.294155, 0.0413367, 3.96485];[102, 127, 143]
[-0.294155, 0.0435971, 3.95927];[102, 127, 143]
[-0.294155, 0.0458574, 3.94833];[102, 127, 143]
[-0.294155, 0.050378, 3.68657];[102, 127, 143]
[-0.294155, 0.0526383, 3.67002];[101, 124, 140]
[-0.294155, 0.0548986, 3.70099];[100, 123, 139]
[-0.294155, 0.0662002, 3.93727];[96, 118, 130]
[-0.294155, 0.0684605, 3.93199];[83, 105, 117]
[-0.294155, 0.0707208, 3.93193];[134, 156, 168]
[-0.294155, 0.0729811, 3.93187];[88, 110, 122]
[-0.294155, 0.079762, 3.90152];[87, 111, 117]
[-0.294155, 0.143051, 3.76412];[138, 174, 182]
[-0.294155, 0.145311, 3.74708];[148, 177, 191]
[-0.294155, 0.147571, 3.74703];[200, 222, 234]
[-0.294155, 0.231203, 3.7386];[205, 224, 227]
[-0.294155, 0.233463, 3.73535];[169, 184, 186]
[-0.294155, 0.235723, 3.73529];[174, 189, 191]
[-0.294155, 0.237984, 3.73208];[192, 205, 207]
[-0.294155, 0.249285, 3.71644];[226, 227, 223]
[-0.294155, 0.251546, 3.71639];[214, 215, 211]
[-0.294155, 0.253806, 3.71634];[194, 196, 196]
[-0.294155, 0.256066, 3.71629];[181, 189, 196]
[-0.294155, 0.258327, 3.71624];[165, 174, 183]
[-0.294155, 0.260587, 3.71619];[148, 157, 166]
[-0.294155, 0.262847, 3.71914];[140, 149, 158]
[-0.294155, 0.265107, 3.71608];[138, 147, 156]
[-0.294155, 0.330656, 3.72328];[212, 191, 164]
[-0.294155, 0.332917, 3.69442];[220, 215, 194]
[-0.294155, 0.335177, 3.68619];[213, 227, 226]
[-0.294155, 0.337437, 3.68614];[197, 210, 218]
[-0.294155, 0.339698, 3.6888];[235, 238, 242]
[-0.294155, 0.369082, 3.69912];[222, 226, 227]
[-0.294155, 0.371342, 3.69906];[201, 205, 206]
[-0.294155, 0.373602, 3.70178];[6, 10, 11]
[-0.294155, 0.375863, 3.69895];[27, 31, 32]
[-0.294155, 0.380383, 3.7246];[33, 35, 35]
[-0.294155, 0.382644, 3.72452];[61, 61, 61]
[-0.294155, 0.384904, 3.71565];[78, 76, 76]
[-0.294155, 0.387164, 3.6524];[91, 86, 87]
[-0.294155, 0.407507, 3.63595];[94, 96, 96]
[-0.294155, 0.409767, 3.63594];[91, 93, 93]
[-0.294155, 0.412028, 3.63594];[99, 102, 100]
[-0.294155, 0.414288, 3.63593];[254, 255, 251]
[-0.291894, -0.437849, 3.70201];[181, 197, 209]
[-0.291894, -0.435589, 3.70208];[181, 197, 209]
[-0.291894, -0.433328, 3.73337];[181, 197, 209]
[-0.291894, -0.431068, 3.73052];[180, 198, 209]
[-0.291894, -0.428808, 3.73062];[180, 197, 210]
[-0.291894, -0.270586, 3.76627];[183, 197, 209]
[-0.291894, -0.252504, 3.69561];[179, 196, 209]
[-0.291894, -0.250243, 3.69565];[179, 196, 209]
[-0.291894, -0.247983, 3.72816];[179, 196, 209]
[-0.291894, -0.245723, 3.69293];[179, 196, 209]
[-0.291894, -0.243462, 3.69297];[179, 196, 209]
[-0.291894, -0.209558, 3.77217];[180, 194, 206]
[-0.291894, -0.207297, 3.77225];[179, 193, 205]
[-0.291894, -0.205037, 3.76884];[179, 193, 205]
[-0.291894, -0.202777, 3.76546];[179, 193, 205]
[-0.291894, -0.200516, 3.76553];[179, 193, 205]
[-0.291894, -0.173393, 3.95187];[176, 188, 200]
[-0.291894, -0.166612, 3.86472];[173, 185, 197]
[-0.291894, -0.116885, 3.91431];[147, 162, 181]
[-0.291894, -0.114625, 3.89972];[147, 162, 181]
[-0.291894, -0.112364, 3.89982];[147, 162, 181]
[-0.291894, -0.110104, 3.89992];[149, 164, 183]
[-0.291894, -0.107844, 3.89521];[149, 164, 183]
[-0.291894, -0.105583, 3.72483];[150, 165, 181]
[-0.291894, -0.103323, 3.9513];[150, 165, 181]
[-0.291894, -0.101063, 3.95142];[149, 164, 180]
[-0.291894, -0.0965422, 3.75435];[145, 160, 176]
[-0.291894, -0.0942819, 3.75438];[145, 160, 176]
[-0.291894, -0.0920215, 3.89108];[146, 158, 176]
[-0.291894, -0.0897612, 3.89116];[146, 158, 176]
[-0.291894, -0.0852406, 3.70967];[143, 155, 173]
[-0.291894, -0.0829803, 3.96881];[141, 153, 171]
[-0.291894, -0.08072, 3.95238];[135, 150, 169]
[-0.291894, -0.0784597, 3.7685];[134, 149, 168]
[-0.291894, -0.0761994, 3.8822];[134, 149, 168]
[-0.291894, -0.0739391, 3.91113];[133, 148, 167]
[-0.291894, -0.0716788, 3.95275];[132, 147, 166]
[-0.291894, -0.0694184, 3.95284];[129, 146, 165]
[-0.291894, -0.0671581, 3.94218];[128, 145, 164]
[-0.291894, -0.0648978, 3.94226];[127, 144, 163]
[-0.291894, -0.0626375, 3.75823];[127, 144, 163]
[-0.291894, -0.0603772, 3.82176];[126, 143, 162]
[-0.291894, -0.0581169, 3.96982];[125, 142, 161]
[-0.291894, -0.0558566, 3.96431];[123, 143, 161]
[-0.291894, -0.0535963, 3.96438];[123, 143, 161]
[-0.291894, -0.051336, 3.91178];[123, 143, 161]
[-0.291894, -0.0490757, 3.91183];[123, 143, 161]
[-0.291894, -0.0468153, 3.90693];[123, 143, 161]
[-0.291894, -0.044555, 3.91194];[120, 141, 162]
[-0.291894, -0.0422947, 3.917];[120, 142, 160]
[-0.291894, -0.0400344, 3.88775];[120, 142, 160]
[-0.291894, -0.0377741, 3.94301];[118, 141, 157]
[-0.291894, -0.0309932, 3.73833];[118, 138, 156]
[-0.291894, -0.0242122, 3.76202];[118, 138, 156]
[-0.291894, -0.0174313, 3.95965];[119, 139, 157]
